text,score,magnitude,sentiment
"Obrigada pela homenagem ao #casamentoigualitario , @BancodoBrasil @BancoDoBrasil7  !! Vejam aqui: http://t.co/4hICRrgnrW ! Muito bom!",0.400000006,1.200000048,Positivo
O #BancoDoBrasil já me deixou uma mensagem de parabéns. O 1º.,0.200000003,0.5,Positivo
"Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF",0,0.1000000015,Positivo
HAHAHAHA @BancodoBrasil maravilhoso!!!! http://t.co/mscHrnWiA4,0,0.1000000015,Positivo
Parabens ao @BancodoBrasil #circuitobancodobrasil por um evento desse nivel! Esse banco tem historia no esporte! http://t.co/GBHjhVCIxu,0,1.5,Positivo
"PARABÉNS AO #BANCODOBRASIL, ORGANIZAÇÃO IMPECÁVEL, NENHUM ARTISTA ATRASOU A APRESENTAÇÃO, ALGUNS COMEÇARAM ATÉ ANTES!",-0.1000000015,0.1000000015,Positivo
"n consigo acreditar que o extrato em pdf do #bb é melhor que o do #itau, muito ruim o extrato gerado pelo #itau #fail",-0.3000000119,0.3000000119,Positivo
"Graças a Deus deu tudo certo, amanhã começo no meu Novo Emprego #Bradesco =D",0.8000000119,0.8000000119,Positivo
"Esqueci o cartão em casa a caminho da rodoviária,acabei d descobrir que da pra sacar dinheiro s/ o cartão, amando muito o @bradesco agora :)",0.8999999762,0.8999999762,Positivo
Sendo muito bem atendido pelo pessoal do @alobradesco,0.8000000119,0.8000000119,Positivo
Isso que é banco meu povo =&gt; @AloBradesco: @GordoGeek Olá! Te ligaremos em breve. :),0.1000000015,0.3000000119,Positivo
@AloBradesco é o canal mais rápido de resposta do banco. Solução prometida para amanhã. Até lá.,0.3000000119,1.100000024,Positivo
"Hércules, Regilandio e Stefano do @AloBradesco resolveram migração para o MAC. Obrigado pelas partes envolvidas",0,0.1000000015,Positivo
#Bradesco e #Itau PARABENS pela responsabilidade social. #EuNoTeleton,0.1000000015,0.3000000119,Positivo
"#EuNoTeleton eo   @Bradesco tambem  

   #EuNoTeleton + Voce = Nós ..só depende de Nós",0.400000006,0.8000000119,Positivo
R$ 1.2 MIl! Doação do @Bradesco para o #TeletonBrasil2013.,0.1000000015,0.200000003,Positivo
"Aew #Bradesco, R$1.200.000,00 pro #Teleton. Muito bom!",0.5,1,Positivo
Parabens @Bradesco pela Doaçao de 1milhão e 200 mil #EUNoTeleton,0.6000000238,0.6000000238,Positivo
"Isso aí R$1.200.000,00 parabéns @Bradesco !!! @TeletonOficial",0,0.1000000015,Positivo
"Bradesco - O banco @Bradesco doou R$1.200.000,00 @TeletonOficial. Twitteiros parabenizam . #TudoTrendsBR",0.1000000015,0.3000000119,Positivo
#Itaú e #Bradesco juntos por uma ótima causa.... Louvável,0,0,Positivo
@angelicamari @Bradesco aqui o Bradesco vai bem em chrome!,0.1000000015,0.1000000015,Positivo
Trabalhar no #Bradesco é ter rock ao vivo! Born to be wiiiineee... :D http://t.co/iLQlUqHHw0,0.3000000119,0.6000000238,Positivo
Mais uma vez obrigado @AloBradesco pela eficiência no trato com os clientes.,0,0,Positivo
Esses dias fiz uma reclamação do #Bradesco aqui no twitter e a equipe do @AloBradesco foi bem atenciosa...,-0.400000006,0.400000006,Positivo
O @Bradesco @AloBradesco me ligou e resolveu meu problema rapidinho. Valeu Bradesco!!,0.1000000015,0.200000003,Positivo
EU SIGO E INDICO &gt;&gt;&gt;&gt;&gt;@Bradesco,0,0,Positivo
Parabéns a todos que fazem os perfis @AloBradesco! #Show,0.1000000015,0.200000003,Positivo
Atendimento do @AloBradesco sempre excelente. Token ativo sem precisar ir ao banco. Aprende com eles @HSBC_Atende.,0.6000000238,1.899999976,Positivo
"@AloBradesco Ok muito obrigado por tirar minha duvida , estou seguindo vocês uma ótima tarde",0.400000006,0.400000006,Positivo
@AloBradesco Obrigado pela atenção,0.1000000015,0.1000000015,Positivo
"Meu cartão Visa acabou de chegar, obrigada @AloBradesco &lt;3",0,0,Positivo
Impressionante o poder da rede social ! O @AloBradesco funciona MUITO melhor que o fone fácil !!! Obrigado bradesco !!!,0.5,1.600000024,Positivo
Obrigado @AloBradesco ! TUDO resolvido em menos de 24 hs !!! Obrigado mesmo !,0.1000000015,1,Positivo
"Muito feliz com o @alobradesco ! Resolveram tudo pra mim !!! Ja o fone fácil , espero que caia uma bomba lá e exploda todo mundo !!!!",0.6000000238,1.799999952,Positivo
Fiz meu primeiro saque na agência totalmente digital do #Bradesco - agência do futuro. http://t.co/3PSMTL6oNN,-0.400000006,0.400000006,Positivo
"O @AloBradesco é a Amélia dos bancos. Cozinha, lava, passa, arruma…. Como nenhuma outra!",0,0.3000000119,Positivo
"Caralho, que propaganda foda do #bradesco #queroquetodomundotenha",0.5,0.5,Positivo
Achei muito fofa essa propaganda natal do #bradesco parabens quem desenvolveu,-0.3000000119,0.3000000119,Positivo
Gostei dessa menina: quer muitas férias para todo mundo em 2014! #Bradesco,0.200000003,0.400000006,Positivo
"Consegui ser atendido no #Bradesco, obrigado. Depois de 1 hora e meia.",0,0.1000000015,Positivo
As atendentes do @AloBradesco devem ganhar muito bem. Pq são de uma cordialidade nunca vista em outros bancos.,0,1.299999952,Positivo
Obrigada ao pessoal do @AloBradesco @Bradesco pelo presente de Natal! http://t.co/vyBaBrKscO,0,0.1000000015,Positivo
"Q surpresa agradavel chegar em casa e ter um presentão do @AloBradesco, terceiro ano ja que sou mimado com uma cesta de natal. Obg senhores!",0.200000003,0.5,Positivo
@AloBradesco um bom final de ano pra tds xoxal medias ae e obg pelas ajudas durante o ano :D (coloca esse tweet no relatorio),0.8000000119,0.8000000119,Positivo
"Estamos ficando mal acostumados, @naosalvo. O pessoal do @AloBradesco  ta estragando a gente com esses presentes :P",0,0.8999999762,Positivo
@azaghal @AloBradesco continuem assim ahuhuahuahu,0,0,Positivo
Melhor parte do fim do ano: a cesta do @alobradesco :D http://t.co/19YUwTa28X,0.6000000238,0.6000000238,Positivo
"E aí, você chega em casa e descobre que ganhou aquele PRESENTÃO do @aloBradesco. Um feliz 2014 pra… http://t.co/fuQYN69hyu",0.200000003,0.5,Positivo
Meus filhos quase não ficaram alucinados com o bau do do @AloBradesco http://t.co/kfQa13Mts5,0,0,Positivo
"Caramba, que cesta linda! Obrigado @AloBradesco! =D",0.3000000119,0.8999999762,Positivo
#FF @ImprensaCAIXA =&gt; Agenda #cultural pelo país e notícias da @CAIXA,0,0,Positivo
@Caixa estuda prorrogar dívida da OSX http://t.co/bTXKtHKAe9 Da série o meu o seu o nosso...,0.3000000119,0.3000000119,Positivo
"Que se lixem os anéis, venha o capital..! #caixa #pt",-0.200000003,0.5,Positivo
"Construção beneficia famílias com renda até R$ 1,6 mil. http://t.co/uCoTukQVGS #MinhaCasaMinhaVida @CAIXA @ImprensaCaixa",0,0,Positivo
#BolsaPódio @aldorebelo:A @CAIXA é uma grande parceira do esporte brasileiro e uma presença importante p/ ginástica http://t.co/fJRIGXwzAw,0,0,Positivo
#BrasilSemMiséria já saiu! http://t.co/Y4vcn8HznC Graças a @CAIXA,0.200000003,0.400000006,Positivo
@ClaroBrasil @ClaroRonaldo Muito obrigado !!! a promoção do twitter foi a melhor coisa que vocês poderiam inventar ...,0.3000000119,0.6999999881,Positivo
Mas um dia de trabalho !!! ?????? #bomdia #trabalho #mywork #work #clarobrasil #mylife #lifeisbutadream… http://t.co/TGBNg1SZhu,0.1000000015,0.6000000238,Positivo
"FINALMENTE CONSEGUI A PORTABILIDADE - QUASE SEM ESFORÇO. OBRIGADO, @ClaroBlog! &lt;3 &lt;3 &lt;3 http://t.co/gMtjTMezlF",0.3000000119,1.100000024,Positivo
"Novo dia, Novas metas, novos desafios... Hora de Produzir!!! ???????????? #bomdia #mywork #clarobrasil… http://t.co/vVwk8hhv65",0,1,Positivo
Bom dia Hoje é dia de Ação Externa!!! Simbora produzir... ?????????????????? #bomdia #clarobrasil #vempraclaro… http://t.co/nQ9Ddf0XxA,0.1000000015,0.6999999881,Positivo
Ação Externa !!! ????????????? #clarobrasil #sejoga #vempraclaro #trabalho #mywork #love #equipeplanet… http://t.co/E5Zbv1jAYV,0.3000000119,0.8999999762,Positivo
obgrigada @claro pelo tt mobile de graça \o/,0,0,Positivo
Muito obrigado @ClaroBlog pelo presente de 200 torpedos,0.5,0.5,Positivo
"@ClaroBlog Sou cliente da Claro a 6 anos e meio e nunca tive sérios problemas, ja em uma concorrente foram 3 meses de tortura!",-0.5,0.5,Positivo
"Opa, curti, parece que acesso ao facebook pela claro está de grátis. #ClaroBrasil #ClaroRonaldo #Chupa3g  @claroronaldo @ClaroBrasil",0,0.1000000015,Positivo
É por isso que as vezes eu gosto da #Claro! http://t.co/uTI4cqvriq,0.200000003,0.400000006,Positivo
Jênia @ClaroBrasil,0,0,Positivo
Facebook e Twitter grátis até pra pós pago! Hehe! Aí sim @ClaroBlog,0.200000003,0.8000000119,Positivo
Obrigada @claro,0.1000000015,0.1000000015,Positivo
"Problema resolvido, obrigada @ClaroBrasil  o/ já posso respirar melhor agora kkkk",0.5,0.5,Positivo
Essa 3G da @claro é uma beleza.,-0.3000000119,0.3000000119,Positivo
Hoje é dia de ser Feliz... ????????????? #bomdia #trabalho #clarobrasil #foco #força #fe… http://t.co/BE8YalDtMl,0.1000000015,0.200000003,Positivo
"E a #Claro (@ClaroRonaldo) dando show de respeito ao cliente! Parabéns!! 
http://t.co/JgsuexDo81",0.1000000015,0.400000006,Positivo
